iter	Passed	Remaining
400	20957	31305
401	21016	31263
402	21073	31217
403	21129	31171
404	21190	31131
405	21246	31084
406	21301	31036
407	21356	30987
408	21411	30939
409	21479	30909
410	21535	30861
411	21594	30818
412	21662	30789
413	21716	30738
414	21775	30695
415	21833	30650
416	21899	30617
417	21960	30576
418	22023	30537
419	22079	30490
420	22143	30453
421	22202	30409
422	22263	30368
423	22315	30315
424	22377	30275
425	22430	30222
426	22485	30174
427	22544	30128
428	22608	30092
429	22664	30044
430	22720	29995
431	22776	29946
432	22839	29907
433	22893	29856
434	22954	29814
435	23009	29764
436	23066	29717
437	23133	29683
438	23188	29633
439	23240	29579
440	23296	29530
441	23354	29483
442	23406	29429
443	23462	29381
444	23519	29333
445	23574	29283
446	23634	29238
447	23691	29191
448	23743	29137
449	23804	29093
450	23862	29048
451	23915	28995
452	23985	28963
453	24045	28917
454	24104	28872
455	24162	28825
456	24226	28785
457	24281	28734
458	24340	28688
459	24395	28638
460	24462	28601
461	24519	28553
462	24574	28502
463	24629	28451
464	24684	28400
465	24753	28365
466	24809	28315
467	24861	28261
468	24923	28218
469	24977	28165
470	25028	28110
471	25084	28061
472	25148	28019
473	25212	27977
474	25270	27930
475	25331	27885
476	25397	27846
477	25451	27794
478	25506	27743
479	25566	27696
480	25635	27661
481	25697	27616
482	25754	27567
483	25811	27517
484	25878	27478
485	25940	27434
486	26003	27391
487	26059	27340
488	26117	27292
489	26168	27236
490	26225	27187
491	26276	27130
492	26338	27086
493	26395	27036
494	26456	26990
495	26513	26941
496	26575	26896
497	26634	26848
498	26691	26798
499	26747	26747
500	26810	26703
501	26865	26651
502	26920	26599
503	26981	26553
504	27036	26501
505	27078	26436
506	27121	26372
507	27165	26309
508	27211	26249
509	27253	26184
510	27299	26124
511	27344	26063
512	27390	26002
513	27435	25940
514	27483	25882
515	27524	25817
516	27567	25754
517	27609	25690
518	27652	25628
519	27700	25569
520	27750	25513
521	27794	25451
522	27837	25388
523	27879	25325
524	27927	25267
525	27974	25209
526	28016	25145
527	28060	25084
528	28100	25019
529	28145	24959
530	28189	24898
531	28229	24833
532	28272	24771
533	28314	24708
534	28355	24645
535	28402	24587
536	28444	24524
537	28491	24466
538	28534	24405
539	28575	24341
540	28623	24284
541	28672	24228
542	28720	24171
543	28767	24113
544	28813	24055
545	28869	24004
546	28913	23945
547	28959	23886
548	29001	23824
549	29042	23762
550	29084	23700
551	29133	23644
552	29174	23582
553	29218	23522
554	29262	23462
555	29313	23408
556	29354	23346
557	29397	23286
558	29442	23227
559	29484	23166
560	29533	23110
561	29580	23053
562	29620	22991
563	29659	22928
564	29705	22870
565	29749	22811
566	29807	22762
567	29866	22715
568	29919	22663
569	29970	22609
570	30017	22552
571	30060	22492
572	30105	22434
573	30147	22373
574	30196	22318
575	30242	22261
576	30289	22205
577	30333	22146
578	30374	22085
579	30420	22028
580	30473	21976
581	30516	21917
582	30564	21862
583	30626	21816
584	30681	21765
585	30735	21713
586	30786	21660
587	30841	21610
588	30892	21556
589	30939	21500
590	30991	21447
591	31042	21394
592	31098	21343
593	31155	21294
594	31211	21245
595	31263	21192
596	31317	21140
597	31371	21088
598	31432	21042
599	31491	20994
600	31531	20933
601	31575	20875
602	31625	20821
603	31668	20762
604	31708	20702
605	31751	20643
606	31793	20584
607	31832	20523
608	31880	20468
609	31926	20411
610	31970	20354
611	32011	20295
612	32056	20238
613	32110	20186
614	32155	20129
615	32198	20072
616	32245	20016
